Epic,Feature,User Story,Criterios de Aceptación,Prioridad,Tipo,Estado
Empresa de Flota,Invitar camioneros a la flota,"Como administrador de flota, quiero poder invitar camioneros a mi empresa por email, para que se asocien a mi cuenta de flota y pueda gestionar sus viajes.","- Formulario para ingresar el email del camionero. - El camionero recibe una invitación por email. - Al aceptar, su cuenta queda vinculada a la flota. - El admin puede desvincular camioneros.",Media,Full-stack,Por hacer
Empresa de Flota,Panel de rendimiento de la flota,"Como administrador de flota, quiero ver estadísticas consolidadas de todos mis camioneros (viajes, ingresos, calificaciones), para entender el rendimiento general de mi operación.","- Dashboard con: total de viajes del mes, ingresos totales, camionero con más viajes, calificación promedio de la flota. - Filtrable por rango de fechas y por camionero.",Media,Full-stack,Por hacer
Mapas y Geolocalización,Mapa visual de la ruta en la card de carga,"Como camionero, quiero ver un mapa con la ruta del recorrido en la card de cada carga disponible, para evaluar visualmente si me conviene antes de ofertar.","- Cada card de carga muestra un mini mapa con el origen y destino marcados. - Usa Leaflet u OpenStreetMap (gratuito). - El mapa muestra la ruta aproximada en línea recta o usando OSRM.",Baja,Frontend,Por hacer
Mapas y Geolocalización,Dirección exacta con número de calle,"Como dador de carga, quiero ingresar la dirección completa incluyendo número de puerta, para que el camionero pueda llegar exactamente al punto de retiro o entrega.","- El geocoder de Nominatim devuelve resultados con número de calle cuando está disponible. - El formulario de publicación permite ingresar el número manualmente si el geocoder no lo incluye. - La dirección exacta se almacena correctamente.",Media,Backend,Por hacer
Calificaciones y Reseñas,Comentario de texto en las calificaciones,"Como usuario, quiero poder escribir un comentario junto a mi calificación de estrellas, para dar contexto sobre mi experiencia con el camionero o dador de carga.","- Campo de texto opcional al calificar (máx. 300 caracteres). - El comentario se guarda junto al score en el modelo Rating. - Los comentarios son visibles en el perfil público del calificado.",Media,Full-stack,Por hacer
Calificaciones y Reseñas,Ver reseñas recibidas en el perfil,"Como camionero o dador de carga, quiero ver todas las reseñas que me dejaron otros usuarios, para entender qué dicen de mí y mostrar mi reputación.","- Sección ""Reseñas"" en el perfil público y propio. - Muestra: quien calificó (nombre), estrellas, comentario y fecha. - Ordenadas de más reciente a más antigua. - Si no hay reseñas muestra estado vacío.",Media,Full-stack,Por hacer
Calificaciones y Reseñas,Período de gracia para calificar,"Como usuario, quiero tener un límite de tiempo para calificar un viaje completado, para que las calificaciones reflejen experiencias recientes y no queden pendientes indefinidamente.","- Se puede calificar hasta 30 días después de la entrega confirmada. - Pasado ese tiempo el botón desaparece. - La API valida que el tiempo no haya expirado al recibir el POST.",Baja,Full-stack,Por hacer
Administración y Moderación,Panel de administración general,"Como administrador de la plataforma, quiero un panel donde pueda ver todos los usuarios, cargas y transacciones, para monitorear el uso de la aplicación y detectar problemas.","- Ruta /admin protegida por rol ""admin"". - Tablas paginadas de: usuarios, cargas activas, transacciones. - Búsqueda por nombre, email o ID. - Métricas: usuarios registrados, cargas publicadas, volumen de pagos.",Alta,Full-stack,Por hacer
Administración y Moderación,Banear o suspender cuentas,"Como administrador, quiero poder suspender o banear una cuenta de usuario, para actuar ante comportamientos inapropiados o fraudes detectados.","- Botón de suspensión en el panel admin. - Un usuario suspendido no puede iniciar sesión y ve un mensaje explicativo. - El admin puede reactivar la cuenta. - Las acciones quedan registradas en un log de auditoría.",Media,Full-stack,Por hacer
Administración y Moderación,Reportar usuario,"Como usuario, quiero poder reportar a otro usuario por comportamiento inapropiado, para alertar a los administradores de posibles fraudes o abusos.","- Botón ""Reportar"" en el perfil público de cualquier usuario. - Formulario con motivo del reporte (selección + texto libre). - El reporte queda registrado en la DB. - El admin ve los reportes pendientes en su panel.",Media,Full-stack,Por hacer
Administración y Moderación,Revisión de cargas sospechosas,"Como administrador, quiero recibir alertas cuando se publique una carga con precio inusualmente bajo o alto, para revisar si podría tratarse de un error o fraude.","- Regla configurable: precio < X% del mercado para esa ruta dispara una alerta. - Las cargas sospechosas aparecen en una lista especial en el panel admin. - El admin puede aprobar o eliminar la carga.",Baja,Full-stack,Por hacer
Performance y Técnico,Paginación en la lista de cargas disponibles,"Como desarrollador, quiero que la API de cargas disponibles devuelva resultados paginados, para evitar cargar miles de registros de una vez y mejorar la performance.","- La API acepta parámetros ?page=1&limit=20. - El frontend tiene botones de ""Cargar más"" o paginación. - La carga inicial es notablemente más rápida.",Alta,Full-stack,Por hacer
Performance y Técnico,Caché de geocoding en base de datos,"Como desarrollador, quiero cachear los resultados de la API de Nominatim en MongoDB, para reducir la cantidad de llamadas externas y mejorar la velocidad del estimador de precios.","- Al geocodificar una dirección, se guarda el resultado en una colección GeoCache con TTL de 7 días. - Antes de llamar a Nominatim, se consulta el caché. - Reduce latencia del estimador de precios.",Media,Backend,Por hacer
Performance y Técnico,Rate limiting en APIs públicas,"Como desarrollador, quiero aplicar rate limiting en los endpoints de la API, para prevenir abuso y proteger la estabilidad del servicio.","- Máximo de 60 requests por minuto por IP en endpoints públicos. - Respuesta 429 con header Retry-After cuando se excede el límite. - Endpoints autenticados tienen límite más generoso.",Media,Backend,Por hacer
Performance y Técnico,Tests automatizados,"Como equipo de desarrollo, quiero tener tests automatizados para las APIs críticas, para detectar regresiones antes de deployar a producción.","- Tests unitarios para: estimación de precios, lógica de clasificación de viajes, cálculo de calificación promedio. - Tests de integración para: flujo de publicación de carga, flujo de oferta y aceptación, flujo de confirmación y calificación. - Coverage mínimo del 60% en rutas de API.",Media,Backend,Por hacer
Performance y Técnico,Validación de variables de entorno al arranque,"Como desarrollador, quiero que la aplicación valide las variables de entorno al iniciar, para detectar configuraciones incorrectas antes de que lleguen a producción.","- Usar Zod o similar para definir el schema de las env vars. - Si falta una variable requerida, la app falla con un mensaje claro al arrancar. - Documentar todas las variables en un .env.example.",Media,Backend,Por hacer
UX y Diseño,Responsive y soporte mobile,"Como usuario, quiero poder usar CargaBack desde mi celular, para gestionar cargas y ofertas estando en ruta.","- Todos los dashboards se adaptan a pantallas de 375px de ancho. - El menú de navegación colapsa en mobile. - Los formularios y tablas son usables en touch. - Las cards de carga se muestran en una sola columna en mobile.",Alta,Frontend,Por hacer
UX y Diseño,Onboarding para nuevos usuarios,"Como nuevo usuario, quiero recibir una guía inicial al entrar por primera vez, para entender rápidamente cómo funciona la plataforma y completar mi perfil.","- Al primer login aparece un modal o paso a paso (máx. 4 pasos). - Guía diferente para dador vs. camionero. - Se puede saltar el onboarding. - No vuelve a aparecer una vez completado (guardado en perfil).",Media,Frontend,Por hacer
UX y Diseño,Mejora de la landing page,"Como visitante, quiero entender qué es CargaBack y sus beneficios antes de registrarme, para decidir si quiero crear una cuenta.","- Sección hero con propuesta de valor clara. - Sección de cómo funciona (3 pasos). - Sección de beneficios para dadores y camioneros. - CTA de registro bien visible. - Testimonios o métricas de confianza.",Media,Frontend,Por hacer
UX y Diseño,Estado vacío más informativo con CTA,"Como dador de carga sin cargas publicadas, quiero ver un mensaje de bienvenida que me invite a publicar mi primera carga, para entender qué debo hacer a continuación.","- Cuando no hay cargas publicadas el estado vacío incluye: ilustración, texto motivador y botón de ""+ Publicar carga"". - Similar para camionero sin ofertas enviadas.",Baja,Frontend,Por hacer
UX y Diseño,Dark mode,"Como usuario, quiero poder activar el modo oscuro en la aplicación, para reducir la fatiga visual al usarla de noche o en ambientes con poca luz.","- Toggle de tema en el menú de perfil. - La preferencia se guarda en localStorage y se aplica al recargar. - Todos los componentes tienen variantes de dark mode definidas en las CSS variables.",Baja,Frontend,Por hacer
